rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
688,W5,No,Salt,0,0,0,0,0,78,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
689,W6,Yes,Fresh,0.7,1.4,3.5,5.6,7,72,72,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
690,W6,Yes,Salt,0.84,1.68,4.2,6.72,8.4,86.4,86.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
691,W6,No,Fresh,0,0,0,0,0,65,65,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
692,W6,No,Salt,0,0,0,0,0,78,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
693,W7,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,14,16,16,17,18,20,22,24,27,31,35,40,46,52,59,66,71,76,81,86,91,96,100
694,W7,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,16.8,19.2,19.2,20.4,21.6,24,26.4,28.8,32.4,37.2,42,48,55.2,62.4,70.8,79.2,85.2,91.2,97.2,100,100,100,100
695,W7,No,Fresh,0,0,0,0,0,5,7,9,9,10,11,13,15,17,20,24,28,33,39,45,52,59,64,69,74,79,84,89,94
696,W7,No,Salt,0,0,0,0,0,6,8.4,10.8,10.8,12,13.2,15.6,18,20.4,24,28.8,33.6,39.6,46.8,54,62.4,70.8,76.8,82.8,88.8,94.8,100,100,100
697,W8,Yes,Fresh,0.7,1.4,3.5,5.6,7,15,19,22,22,23,24,26,29,32,35,39,43,47,52,56,61,66,71,76,81,86,91,96,100
698,W8,Yes,Salt,0.84,1.68,4.2,6.72,8.4,18,22.8,26.4,26.4,27.6,28.8,31.2,34.8,38.4,42,46.8,51.6,56.4,62.4,67.2,73.2,79.2,85.2,91.2,97.2,100,100,100,100
699,W8,No,Fresh,0,0,0,0,0,8,12,15,15,16,17,19,22,25,28,32,36,40,45,49,54,59,64,69,74,79,84,89,94
700,W8,No,Salt,0,0,0,0,0,9.6,14.4,18,18,19.2,20.4,22.8,26.4,30,33.6,38.4,43.2,48,54,58.8,64.8,70.8,76.8,82.8,88.8,94.8,100,100,100
701,W9,Yes,Fresh,0.7,1.4,3.5,5.6,7,15,19,22,22,23,24,26,29,32,35,39,43,47,52,56,61,66,71,76,81,86,91,96,100
702,W9,Yes,Salt,0.84,1.68,4.2,6.72,8.4,18,22.8,26.4,26.4,27.6,28.8,31.2,34.8,38.4,42,46.8,51.6,56.4,62.4,67.2,73.2,79.2,85.2,91.2,97.2,100,100,100,100
703,W9,No,Fresh,0,0,0,0,0,8,12,15,15,16,17,19,22,25,28,32,36,40,45,49,54,59,64,69,74,79,84,89,94
704,W9,No,Salt,0,0,0,0,0,9.6,14.4,18,18,19.2,20.4,22.8,26.4,30,33.6,38.4,43.2,48,54,58.8,64.8,70.8,76.8,82.8,88.8,94.8,100,100,100
705,Y1,Yes,Fresh,0.7,1.4,3.5,5.6,7,8,12,12,12,13,14,16,18,21,24,27,31,35,39,43,48,52,58,63,68,73,78,83,88
706,Y1,Yes,Salt,0.84,1.68,4.2,6.72,8.4,9.6,14.4,14.4,14.4,15.6,16.8,19.2,21.6,25.2,28.8,32.4,37.2,42,46.8,51.6,57.6,62.4,69.6,75.6,81.6,87.6,93.6,99.6,100
707,Y1,No,Fresh,0,0,0,0,0,1,5,5,5,6,7,9,11,14,17,20,24,28,32,36,41,45,51,56,61,66,71,76,81
708,Y1,No,Salt,0,0,0,0,0,1.2,6,6,6,7.2,8.4,10.8,13.2,16.8,20.4,24,28.8,33.6,38.4,43.2,49.2,54,61.2,67.2,73.2,79.2,85.2,91.2,97.2
709,Y2,Yes,Fresh,0.7,1.4,3.5,5.6,7,19,21,24,26,30,34,38,42,47,52,57,62,66,70,74,78,81,84,87,90,93,96,99,100
710,Y2,Yes,Salt,0.84,1.68,4.2,6.72,8.4,22.8,25.2,28.8,31.2,36,40.8,45.6,50.4,56.4,62.4,68.4,74.4,79.2,84,88.8,93.6,97.2,100,100,100,100,100,100,100
711,Y2,No,Fresh,0,0,0,0,0,12,14,17,19,23,27,31,35,40,45,50,55,59,63,67,71,74,77,80,83,86,89,92,95
712,Y2,No,Salt,0,0,0,0,0,14.4,16.8,20.4,22.8,27.6,32.4,37.2,42,48,54,60,66,70.8,75.6,80.4,85.2,88.8,92.4,96,99.6,100,100,100,100
713,Y3,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,15,20,21,21,22,24,26,29,33,38,44,51,58,66,72,77,81,86,90,94,98,100,100
