rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
801,G6,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,G6,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,G6,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,G6,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,G7,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,G7,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,G7,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,G7,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,RG,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,RG,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,RG,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,RG,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Z2,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Z2,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Z2,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Z2,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,V0,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,V0,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,V0,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,V0,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,V1,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,V1,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,V1,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,V1,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,V2,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,V2,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,V2,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,V2,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,V3,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,V3,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,V3,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,V3,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,V4,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,V4,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,V4,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,V4,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,V5,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,V5,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,V5,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,V5,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,V6,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,V6,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,V6,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,V6,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,V7,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,V7,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,V7,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,V7,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,V8,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,V8,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,V8,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,V8,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,V9,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,V9,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,V9,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,V9,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Y5,Yes,Fresh,0.7,1.4,3.5,5.6,7,23,41,72,87,89,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
858,Y5,Yes,Salt,0.84,1.68,4.2,6.72,8.4,27.6,49.2,86.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
859,Y5,No,Fresh,0,0,0,0,0,16,34,65,80,82,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
860,Y5,No,Salt,0,0,0,0,0,19.2,40.8,78,96,98.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
861,Z6,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Z6,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Z6,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Z6,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Z7,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Z7,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Z7,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Z7,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Z9,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Z9,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Z9,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Z9,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
