bbl,latitude,longitude,borough,zipcode,address,ltdheight,ownername,bldgclass,bldgarea,numbldgs,numfloors,unitstotal,bldgfront,bldgdepth,lottype,bsmtcode,yearbuilt,yearalter1,yearalter2,mod,u,w,m,c,s,u.buildingtypeid,w.buildingtypeid,m.buildingtypeid,c.buildingtypeid,s.buildingtypeid,bldgshapeid,basement,firstfloor,secondfloor,bsmtarea,nb.singlefloorarea,b.singlefloorarea,floodtype,distance_meter
1022150387,40.87669776,-73.91072005,MN,10463,40 VAN CORLEAR PLACE,,RALPH THOMAS,A5,2022,1,2,1,19,40,5,1,1910,0,0,1.1362,TRUE,FALSE,FALSE,FALSE,FALSE,1,,,,,2,TRUE,TRUE,FALSE,674,,674,Fresh,217.34
1000390001,40.70545816,-74.00750925,MN,10005,82 WALL STREET,,THE OTTO GERDAV CO,O6,53253,1,12,14,92,52,3,5,1902,0,0,1.2034,FALSE,TRUE,TRUE,FALSE,FALSE,,32,30,,,31,TRUE,TRUE,TRUE,,4437.75,4096.384615,Fresh,220.91
